Wilayas,Cas,Décès,Rétab,1er cas
Ouargla,2,1,,25 février
Blida,294,14,30,1er mars
Mascara,7,,2,5 mars
Tizi Ouzou,29,4,,12 mars
Souk Ahras,3,,,12 mars
Skikda,8,,,12 mars
Alger,125,2,,13 mars
Adrar,2,,,15 mars
Bouira,6,,,16 mars
Bordj Bou Arreridj,11,2,,16 mars
Annaba,6,1,,16 mars
Béjaïa,26,2,,17 mars
Médéa,17,2,,18 mars
Boumerdès,9,1,,18 mars
El Oued,7,2,,18 mars
Tissemsilt,2,,,19 mars
Oran,44,4,,19 mars
Sétif,19,2,,19 mars
Khenchela,2,1,,20 mars
Relizane,2,,,21 mars
Constantine,8,3,,22 mars
Chlef,7,,,23 mars
Tlemcen,12,,,23 mars
Jijel,4,,,23 mars
Mostaganem,8,1,,23 mars
Aïn Témouchent,2,,,23 mars
Sidi Bel Abbès,6,,,23 mars
Tipaza,18,2,,23 mars
Biskra,2,,,25 mars
Oum El Bouaghi,2,,,26 mars
Batna,2,,,26 mars
Laghouat,1,,,26 mars
El Tarf,4,,,27 mars
Ghardaïa,1,,,27 mars
Djelfa,2,,,27 mars
Aïn Defla,13,1,,27 mars
Guelma,3,,,30 mars
M'Sila,1,,,31 mars

